"Brand","Series","Steel","C, %","CrMoV, %","Length","Width","Grinding","Honing","Comments"
"Arcos","","","","","","","24.0","2.4",""
"Baccarat","","","","","","","24.0","2.4",""
"Crofton","","","","","","","24.0","2.0",""
"Evolution","","","","","","","24.0","2.0",""
"FÜRI","","","","","","","24.0","2.0",""
"ICEL Benedita Portugal","","","","","","","28.0","2.0",""
"Jamie Oliver knives","","","","","","","24.0","0.4",""
"NELLA","","","","","","","24.0","2.4",""
"WiltShire","","","","","","","24.0","2.0",""
"F.Dick","","","","","","","30.0","2.0",""
"IVO Portugal","","X50CrMoV15","0.5","15.0","","","24.0","2.0",""
"Messermeister","","X50CrMoV15","0.5","15.0","","","24.0","1.6",""
"MUNDIAL","","x45CrMo14","0.45","14.0","","","24.0","2.0",""
"Opinel Carbone","","","","","","","24.0","2.0",""
"Robert Welch","","X50CrMoV15","0.5","15.0","","","24.0","1.6",""
"SCANPAN knives 1.4116","","x45CrMoV15","0.45","15.0","","","24.0","2.0",""
"VG1","","","","","","","24.0","0.4",""
"Victorinox","","","","","","","24.0","2.0",""
"Victorinox SWIBO","","","","","","","24.0","1.6",""
"Wüsthof","","","","","","","24.0","2.0",""
"Zwilling Henckels","","","","","","","24.0","2.0",""
"","","440C","1.1","19.0","","","20.0","-0.1",""
"BOKER","","440C","1.1","19.0","","","24.0","0.4",""
"","","52100","0.96","3.0","","","20.0","0.8",""
"","","ATS-34","1.05","18.8","","","24.0","0.8",""
"Damascus","","15N20","0.75","3.5","","","24.0","1.2",""
"GLOBAL Cromova-18","","Cromova-18","0.55","17.0","","","24.0","1.2",""
"Japanese high-carbon","","","","","","","20.0","0.8",""
"MIYABI","5000FCD","","","","","","24.0","1.6",""
"MIYABI","FC61","","","","","","24.0","1.6",""
"Tojiro","","","","","","","20.0","-0.1",""
"V-Toku2","","","","","","","20.0","-0.1",""
"Nitro-V","","","","","","","20.0","1.6",""
"RWL-34","","","","","","","24.0","0.4",""
"Sandvik","","12C27","0.6","14.5","","","24.0","1.6",""
"","","VG10","1.0","18.0","","","24.0","0.8",""
"","","CPM 20CV","1.0","25.6","","","24.0","0.0",""
"","","CPM S30V","1.45","20.0","","","24.0","-0.1",""
"","","CPM S35VN","1.4","19.5","","","24.0","0.4",""
"","","CPM S90V","2.3","24.0","","","24.0","0.0",""
"","","D2","1.55","12.0","","","30.0","0.0",""
"","","154CM","1.05","18.8","","","24.0","0.4",""
